,image_1771,image_1235,image_309,image_6987,image_51,image_129,image_6780,image_2081,image_8584,image_752,image_3204,image_9218,image_5985,image_1063,image_4398,image_6954,image_2078,image_7638,image_2919,image_1112
image_1771,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1235,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
image_309,0,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
image_6987,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
image_51,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
image_129,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
image_6780,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0
image_2081,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_8584,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
image_752,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_3204,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9218,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0
image_5985,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_1063,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_4398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_6954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_7638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
