,image_2113,image_1986,image_8176,image_6268,image_4536,image_7537,image_5796,image_7017,image_7892,image_1342,image_124,image_4307,image_1119
image_2113,4,0,4,4,2,2,0,4,2,0,0,0,0
image_1986,0,4,0,0,0,0,0,0,0,0,0,0,0
image_8176,0,0,4,4,2,2,0,4,2,0,0,0,0
image_6268,0,0,0,4,0,0,0,0,0,0,0,0,0
image_4536,0,0,0,0,4,0,0,2,1,0,0,0,0
image_7537,0,0,0,0,0,4,0,2,2,0,0,0,0
image_5796,0,0,0,0,0,0,4,0,0,0,0,1,0
image_7017,0,0,0,0,0,0,0,4,0,0,0,0,0
image_7892,0,0,0,0,0,0,0,0,4,0,0,0,0
image_1342,0,0,0,0,0,0,0,0,0,4,0,0,0
image_124,0,0,0,0,0,0,0,0,0,0,4,2,0
image_4307,0,0,0,0,0,0,0,0,0,0,0,4,0
image_1119,0,0,0,0,0,0,0,0,0,0,0,0,4
