,image_2437,image_65,image_7469,image_9874,image_3479,image_4396,image_6631,image_1517,image_449,image_5440,image_8320,image_7079,image_5189,image_4863,image_7185,image_7386,image_9997,image_8707,image_1155,image_7167,image_1340,image_8255,image_2784,image_9839,image_7634,image_3745,image_49,image_792
image_2437,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
image_65,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,3,0,2
image_7469,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,3,0,3
image_9874,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
image_3479,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0
image_4396,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0
image_6631,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0
image_1517,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0
image_449,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0
image_5440,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,1,0,0,1,2,2,2,1,1,1,2,0,2
image_8320,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0
image_7079,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0
image_5189,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0
image_4863,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
image_7185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,0,0,0,0,0,0,0,0,0
image_7386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_9997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_8707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_7167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,1,0,2
image_1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,0,2
image_8255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,2
image_2784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0
image_9839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
image_7634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
image_3745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
